ID,Tendency,ATP,TF,FoldChange,AlternativeNames,GO0009723,GO0009733,GO0071555
AT1G01270,1,3,0,3.2573461533,AT1G01270,0,0,0
AT1G01380,1,5,1,0.5874696374,AT1G01380,0,0,0
AT1G01453,1,3,0,0.7558441758,AT1G01453,0,0,0
AT1G01480,0,2,0,-0.874476552,AT1G01480,0,0,0
AT1G01580,0,6,0,-1.927570105,FRO2,0,0,0
AT1G01600,1,6,0,0.6706953049,AT1G01600,0,0,0
AT1G01620,0,4,0,-0.878574193,AT1G01620,0,0,0
AT1G01640,1,6,0,0.9616324306,AT1G01640,0,0,0
AT1G01650,1,4,0,0.9908683896,AT1G01650,0,0,0
AT1G01725,1,6,0,0.7872418761,AT1G01725,0,0,0
AT1G01750,1,4,0,0.8321789503,ADF11,0,0,0
AT1G01770,1,6,0,0.7507827282,AT1G01770,0,0,0
AT1G02050,1,6,0,0.7624140382,AT1G02050,0,0,0
AT1G02205,1,6,0,0.7507818937,AT1G02205,0,0,0
AT1G02460,1,5,0,0.5988551974,AT1G02460,0,0,1
AT1G02570,1,5,0,1.5847703218,AT1G02570,0,0,0
AT1G02770,0,4,0,-0.617367923,AT1G02770,0,0,0
AT1G02800,1,4,0,0.6600760818,AT1G02800,0,0,1
AT1G02900,1,4,0,0.794936657,AT1G02900,0,0,0
AT1G02920,1,5,0,1.0266242027,AT1G02920,0,0,0
AT1G02930,1,4,0,1.0103596449,AT1G02930,0,0,0
AT1G03090,1,6,0,2.0187754631,AT1G03090,0,0,0
AT1G03120,0,4,0,-1.107726336,AT1G03120,0,0,0
AT1G03130,0,3,0,-0.698605239,AT1G03130,0,0,0
AT1G03630,0,6,0,-0.750441432,AT1G03630,0,0,0
AT1G03700,0,4,0,-2.816615343,AT1G03700,0,0,0
AT1G03820,0,2,0,-0.997942805,AT1G03820,0,0,0
AT1G03970,1,6,1,0.7063296437,AT1G03970,0,0,0
AT1G04140,0,3,0,-0.601904035,AT1G04140,0,0,0
AT1G04180,1,3,0,1.413498044,AT1G04180,0,0,0
AT1G04220,1,6,0,0.6735916734,AT1G04220,0,0,0
AT1G04310,1,3,0,0.7371913195,ERS2,1,0,0
AT1G04360,0,3,0,-0.866910338,AT1G04360,0,0,0
AT1G04660,0,4,0,-1.598267436,AT1G04660,0,0,0
AT1G04800,0,5,0,-0.964292645,AT1G04800,0,0,0
AT1G04980,0,4,0,-0.685407341,AT1G04980,0,0,0
AT1G05000,1,4,0,0.7418132424,AT1G05000,0,0,0
AT1G05010,1,3,0,0.9642529488,AT1G05010,0,0,0
AT1G05020,1,4,0,2.1443173885,AT1G05020,0,0,0
AT1G05220,0,6,0,-0.740667343,AT1G05220,0,0,0
AT1G05240,1,5,0,1.5690025091,AT1G05240,0,0,0
AT1G05250,1,5,0,1.641166687,AT1G05250,0,0,0
AT1G05300,0,4,0,-1.030985475,AT1G05300,0,0,0
AT1G05450,0,6,0,-2.733316422,AT1G05450,0,0,0
AT1G05660,0,4,0,-1.996018291,AT1G05660,0,0,1
AT1G05990,1,5,0,2.561150074,AT1G05990,0,0,0
AT1G06030,1,6,0,3.2295548916,AT1G06030,0,0,0
AT1G06080,1,4,0,2.6987040043,AT1G06080,0,0,0
AT1G06180,0,4,1,-0.868646264,AT1G06180,0,0,0
AT1G06330,1,4,0,1.8684798479,AT1G06330,0,0,0
AT1G06360,0,5,0,-1.054519176,AT1G06360,0,0,0
AT1G06520,0,4,0,-1.066231608,AT1G06520,0,0,0
AT1G06570,1,6,0,2.0206983089,AT1G06570,0,0,0
AT1G06830,0,5,0,-1.269608736,AT1G06830,0,0,0
