id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G01270,0.001,0.001,0.5412,0.4293,2.1007,0.4272,0.001,0.5502,0.51,1.2297,1.9629,2.0016,0.001,1.231,0.001,0.001,0.001,1.054,0.001,0.4179,0.001
AT1G01380,7.7085,8.8031,9.437,7.374,8.8401,10.3373,8.8149,9.5257,9.915,8.9565,9.5338,9.6798,11.6643,9.3262,13.2823,12.8627,14.3064,11.8215,9.9614,12.6268,8.15
AT1G01453,0.6415,0.8795,0.623,0.8502,1.2433,0.7916,0.8452,1.3711,0.9777,1.2585,0.9213,1.4406,2.0659,2.2039,1.2887,4.134,3.1086,3.0992,3.0252,4.7743,3.12
AT1G01480,0.9055,1.1376,1.2021,0.7945,0.6429,0.7433,0.6438,0.6726,0.4537,0.9572,0.6068,0.5755,0.487,0.5631,0.7884,0.5565,0.4423,0.4692,0.7739,0.8352,0.8206
AT1G01580,1.9998,2.9793,2.5569,1.1914,2.5622,3.492,1.5956,1.3491,2.5296,1.6179,2.0895,1.9384,1.1346,2.547,3.1594,2.0646,1.818,2.9383,0.5356,0.716,0.7294
AT1G01600,9.6037,13.0419,6.994,16.8154,13.1772,6.1761,10.1231,8.8613,8.0279,10.4568,9.0036,9.2194,12.0329,12.5148,11.3002,11.6347,13.8194,12.9512,16.951,16.835,13.3955
AT1G01620,1057.9422,1298.7103,788.5986,1171.9416,1416.146,991.2215,950.312,1328.6793,906.2773,911.8969,1199.0201,707.1488,701.3389,580.3746,429.0034,614.8893,698.2814,424.3886,805.9205,802.3075,564.7642
AT1G01640,7.7712,13.6778,9.3906,10.8344,12.9536,10.2527,11.5882,9.8885,9.2033,9.6307,11.9767,7.5299,15.0703,14.1897,11.5432,20.7784,18.4809,12.7743,23.3438,22.3222,14.3945
AT1G01650,14.9662,14.0058,12.9724,16.2198,16.4443,16.3262,13.8662,13.5744,17.2201,16.0249,21.3383,19.1089,24.1746,26.3717,32.8132,22.5121,24.7205,27.9453,22.9886,25.243,31.7302
AT1G01725,7.9817,8.4334,8.9306,7.687,8.3473,10.3334,9.1431,13.7491,9.4562,11.2202,7.1046,7.6384,8.8949,11.4897,10.2129,13.1842,12.7485,11.9361,14.8872,15.1619,13.6918
AT1G01750,8.5865,8.1908,5.0082,4.9232,7.6397,4.4253,4.4749,5.9064,6.8889,9.4538,7.0323,7.6036,13.1858,13.2635,12.337,20.4598,19.4267,15.9746,14.9523,19.4766,20.5024
AT1G01770,2.6149,2.0793,3.4506,2.334,2.1933,2.3098,1.9297,2.644,2.897,3.1804,1.4458,2.8618,2.3825,1.7505,2.5903,2.6449,2.985,3.2302,3.8868,4.4927,5.3258
AT1G02050,1.2221,1.0928,1.8748,1.649,1.1674,1.2252,1.9426,1.8764,1.1872,2.1653,0.958,1.1124,1.45,1.4231,1.4558,1.4859,1.9113,1.9794,2.4127,2.4865,2.2079
AT1G02205,126.4955,188.2308,133.8345,258.6522,176.5854,151.1423,170.6756,148.4785,148.7547,158.6699,109.6717,149.073,135.3557,102.6515,116.4729,145.9936,168.3291,187.6874,251.9429,290.5286,212.3238
AT1G02460,2.1005,2.4944,1.7919,2.3673,2.1348,2.1035,2.6649,1.4317,2.5522,2.4499,1.8077,4.1461,3.246,2.331,4.8563,2.7143,3.3283,3.6303,2.9646,2.5513,2.6198
AT1G02570,2.947,3.4131,1.1453,1.9833,3.2955,2.2412,2.0127,2.888,3.5549,2.6037,4.5158,3.3362,2.692,5.2117,2.37,6.8141,9.0068,6.6923,4.8739,8.9627,8.3224
AT1G02770,2.3841,2.5756,2.9124,1.6819,2.1535,2.5725,1.8124,3.1863,2.8336,2.5203,1.6483,2.1398,1.4785,2.2106,1.4424,2.4841,2.1216,2.345,1.6031,2.0769,2.3863
AT1G02800,16.7277,20.5107,17.8679,26.4424,22.3074,18.6459,31.7296,12.7924,18.3169,18.1344,27.3943,21.1532,27.6569,24.4188,35.0014,19.3131,24.8062,26.9647,18.3864,19.6219,13.6392
AT1G02900,38.9785,45.5523,30.9901,37.5622,44.4919,37.7465,32.3792,41.9657,36.5141,51.1672,45.8698,41.9002,64.937,62.1978,73.2941,72.8322,66.6429,52.6006,66.3337,60.5834,53.476
AT1G02920,10.5075,15.6539,11.2329,11.3788,12.8957,15.2947,11.5583,18.484,14.5032,16.7013,14.1519,21.954,15.9269,21.0909,18.8622,24.4818,30.4815,21.2183,36.9803,30.5961,20.5176
AT1G02930,5.3537,7.2104,9.388,5.4661,5.8444,8.7085,5.8881,10.0296,14.3042,10.8016,7.8579,20.8113,10.4781,15.0286,18.7139,11.8254,16.7808,16.4159,17.9977,15.6499,14.6392
AT1G03090,3.5123,3.0447,7.9114,4.6023,3.3583,4.4126,3.111,4.5308,4.1417,5.74,1.9089,5.8234,4.3309,3.6468,7.1071,5.7868,6.7887,10.9989,18.8811,21.2624,18.4882
AT1G03120,2.1944,2.5562,3.2966,1.6686,2.2494,2.1031,2.3993,4.6349,2.2472,4.7058,1.1045,1.559,1.3759,1.7039,0.6543,1.5442,1.1757,1.5044,1.1441,1.7867,2.2195
AT1G03130,37.7041,36.5184,34.9551,62.7596,38.065,33.7582,53.3975,18.383,20.4427,21.7863,21.0539,24.4315,29.5043,18.3289,44.9178,32.1713,39.2849,33.4516,40.3353,50.1647,37.1743
AT1G03630,10.1422,9.5722,14.1666,11.8879,7.2187,12.5491,11.065,6.2336,9.003,8.3543,7.1545,10.3549,7.3752,4.4019,13.607,6.1575,7.2565,9.1868,7.7487,6.3514,6.0395
